name,race,level,political_party,company_ownership_info,companyId,state,value,company_has_won_tenders_2024,company_is_political_donor,company_is_political_donor_2024,official_is_political_donor,official_is_political_donor_2024
GRUBLJEŠIĆ DRAGAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KOSTAJNICA,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,"AUTO VOLVO S 40, 2006 GODIŠTE",,BiH,8000.0,,,,,
GUTALJ PREDRAG,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,PALE,SOCIJALISTIČKA PARTIJA,"DOO ""PGM""",4403461040006.0,BIH RS,1000000.0,True,,,,
H. AĐULOVIĆ MUSTAFA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADAČAC,NAROD I PRAVDA (NIP),CONSTRUCTA DOO 1/1,4209748180002.0,Bosna i Hercegovina,8000000.0,,,,,
HABOTA SAMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ILIDŽA,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,BE-HA PROMO,4202142790005.0,BiH,,,,,True,True
HABOTA SAMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ILIDŽA,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,HANSEL,4203393490007.0,BIH,,,,,True,True
HALILOVIĆ TARIK,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,VISOKO,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,IT KAHVANA GROUP D.O.O.,4203188990005.0,Bosna i Hercegovina,19600.0,,,,,
HAMZIĆ NIHAD,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KALESIJA,NAROD I PRAVDA (NIP),HNR DOO KALESIJA,4209448200001.0,BIH,150000.0,True,,,,
HODŽIĆ IZET,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DOBOJ - ISTOK,NAROD I PRAVDA (NIP),VLASNIK FIRME D.O.O. „EMOS-TRADE“,4209264140006.0,Bosnia & Herzegovina,52000.0,True,,,True,True
HOROZOVIĆ SABAHUDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ČELIĆ,SBIH - STRANKA ZA BOSNU I HERCEGOVINU,HM-VENDING-OSNIVAČ,4210487040001.0,BiH,10000.0,,,,,
HOZAN EDIN,NACELNIK/GRADONACELNIK,JAJCE,SDA - STRANKA DEMOKRATSKE AKCIJE,OBRT ZA PROIZVODNJU I PRODAJU SOLARNE ENERGIJE 23KW,,Bosna i Hercegovina,40000.0,,,,,
HOZIĆ ADNAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BUGOJNO,NAŠA STRANKA,VETERINARSKI CENTAR VRBAS,4236505500006.0,BiH,100000.0,,,,,
HUSIĆ DAMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KALESIJA,NAROD I PRAVDA (NIP),OFTALMOLOŠKA ORDINACIJA DR HUSIĆ,4311069820000.0,BiH,50000.0,,,,,
HUSKIĆ SUAD,NACELNIK/GRADONACELNIK,TEŠANJ,SDA - STRANKA DEMOKRATSKE AKCIJE,"OBRT, DOPUNSKA DJELATNOST ZA MIKROSOLAR",,Bosna i Hercegovina,3000.0,,,,,
IBELJIĆ ANEL,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TUZLA,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,"ADVOKATSKO DRUŠTVO ""KEŠAN & IBELJIĆ"" D.O.O. TUZLA",4210624480006.0,Bosna i Hercegovina,500.0,,,,,
IBRIŠIMOVIĆ MIRUDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DOBOJ - JUG,DEMOKRATSKA FRONTA - DF,DOBOJ JUG,,BIH,43000.0,,,,,
IVIĆ TOMISLAV,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KUPRES,HNP - HRVATSKI NACIONALNI POMAK,OBRT,,BiH,70000.0,,,,,
IVIČEVIĆ ARIJANA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KISELJAK,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,OBRT - DODATNA DJELATNOST ,,BiH,10000.0,,,,,
JANKOVIĆ MIROSLAV,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,CELINAC,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,DA,,BIH,100000.0,,,,,
JAŠIĆ HALIL,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,MILIĆI,SDA - STRANKA DEMOKRATSKE AKCIJE,"TRGOVINA ""MIRZA""",,BiH,40000.0,,,,,
JEJINIĆ SINIŠA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SRBAC,SRBAC-NAŠ GRAD,JEJINIĆ DOO,4404008690004.0,BiH,309252.0,True,,,,
JOVIĆ SLAĐAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DOBOJ,DEMOKRATSKI SAVEZ-DEMOS,AUTO AUDI,,bih,60000.0,,,,,
JOVIĆ SLOBODAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,MILIĆI,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,"UR ""JOVIĆ""",,BiH - RS,110000.0,,,,True,
JUKAN ADEL,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADAČAC,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,"DA,  MEGGA LIGHT DOO",4210410920009.0,BOSNA I HERCEGOVINA,230000.0,True,,,,
JUKAN EMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADAČAC,SDA - STRANKA DEMOKRATSKE AKCIJE,"PPU ""MONTESSORI NUR"" GRADAČAC",4210564050007.0,Bosna i Hercegovina,,,,,,
JUKAN EMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADAČAC,SDA - STRANKA DEMOKRATSKE AKCIJE,"""RIMES TRAFFIC"" D.O.O. ZA POSREDOVANJE U OSIGURANJU GRADAČAC",4210344870003.0,,,,,,,
JUNUZOVIĆ ARMIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SAPNA,POKRET DEMOKRATSKE AKCIJE - PDA,ARMIN GRADNJA,4210367570007.0,BiH,40000.0,,,,,
JUSIĆ MUJO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ČELIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,AUTOSERVIS JUSIĆ,,BIH,70000.0,,,,,
