name,race,level,political_party,company_ownership_info,companyId,state,value,company_has_won_tenders_2024,company_is_political_donor,company_is_political_donor_2024,official_is_political_donor,official_is_political_donor_2024
MEDIĆ VLADIMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,MEDEKS INVEST,21764329.0,Srbija,,,,,,
MEHIĆ NERMANA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KAKANJ,SNAGA NARODA,HAAM KAKANJ,4219044220004.0,BiH,50000.0,,,,,
MEKIĆ ADNAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIHAĆ,POMAK-POKRET ZA MODERNU I AKTIVNU KRAJINU,"AMDŽ-ELEKTRON DOO BIHAĆ UDIO 24,99%",4263048220008.0,BIH,300000.0,True,,,True,
MEMAGIĆ ĐEMAL,NACELNIK/GRADONACELNIK,OLOVO,SDA - STRANKA DEMOKRATSKE AKCIJE,ALMA-RAS DOO,4218032600000.0,BiH ,42318539.0,True,,,True,True
MEŠIĆ JASMIN (REMZO),OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BOSANSKI PETROVAC,ZA BOLJI BOSANSKI PETROVAC,FOREST-SERVICE,4263710820002.0,,200000.0,True,True,,,
MIHAJLOVIĆ DRAGIŠA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BRATUNAC,NARODNA PARTIJA SRPSKE-DARKO BANJAC,ENERGOTROJ DOO,4404992960009.0,BiH,200000.0,,,,,
MILADINOVIĆ ZORAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TREBINJE,NARODNA PARTIJA SRPSKE-DARKO BANJAC,SMOKE PALACE U MOM VLASNIŠTVU 2/3,4404916780000.0,BiH,40000.0,,,,,
MILIĆEVIĆ MARIO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ČITLUK,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,PODUZEĆE,,BIH,5000.0,,,,,
MILIČIĆ NIKOLA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BROD,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,CITY CAFE,4510244270002.0,RS-BIH,40000.0,,,,,
MILOŠEVIĆ MILOŠ,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GACKO,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,НЕМАМ,,,0.0,,,,,
MRĐA DRAGANA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BOSANSKI PETROVAC,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,DA,,BIH,10000.0,,,,,
MRĐA SAŠA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,PETROVAC,DNS-NENAD NEŠIĆ,MRDJA-TRANSPORT.DOO,4404958270001.0,Босна и Херцеговина,60000.0,,,,,
MUHIĆ BEGAN,NACELNIK/GRADONACELNIK,ŽIVINICE,SDA - STRANKA DEMOKRATSKE AKCIJE,GRAČAC-COMERCE,4209411030009.0,Bosna i Hercegovina,5000.0,,,,,
MUJIĆ ADNAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KISELJAK,SDA - STRANKA DEMOKRATSKE AKCIJE,OBRT MUJIĆ,4337591180001.0,Bosna i Hercegovina,50000.0,,,,,
MUJKIĆ ALMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SREBRENIK,SDA - STRANKA DEMOKRATSKE AKCIJE,DRVOTRANS,4209611550007.0,BiH,5390078.0,,,,,
MULAOSMANOVIĆ SAMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TUZLA,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,UR PALAČINKARA KOD BAGIJA,4210405090006.0,Bosna i Hercegovina,63011.0,,,,,
MURATOVIĆ ADEL,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,CENTAR SARAJEVO,SDA - STRANKA DEMOKRATSKE AKCIJE,"OD ""AM""",4303093240003.0,BiH,10000.0,,,,,
MURATOVIĆ NIRMEL,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SREBRENIK,SDA - STRANKA DEMOKRATSKE AKCIJE,D.O.O. NIRMEX ,4209255820002.0,BIH,800000.0,True,,,True,
MUŠIĆ SONJA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,CENTAR SARAJEVO,DEMOKRATSKA FRONTA - DF,MN MEDIA COMPANY,4201632590008.0,BiH,1000000.0,True,,,,
MUSTAFIĆ IMAD,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRACANICA,SDA - STRANKA DEMOKRATSKE AKCIJE,VIVA MONT (1/5),4210584750005.0,BiH,5000.0,,,,,
NADŽAK SALIH,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŽEPČE,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,DA,,"BIH, SLOVENIJA",100000.0,,,,,
NIKIĆ PERO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,USORA,HDZ 1990 - HRVATSKA DEMOKRATSKA ZAJEDNICA 1990,1/3,,BIH,50000.0,,,,,
NINKOVIĆ LJUBO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BANJA LUKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,/////,,/////,0.0,,,,,
NUMIĆ DAMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TEŠANJ,SNAGA NARODA,GREEN LIGHT D.O.O,4218930480002.0,BIH,16000000.0,,,,,
OKIĆ MIRZA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRACANICA,SBIH - STRANKA ZA BOSNU I HERCEGOVINU,"OD ""ITALY OPTIK""",4311918310002.0,BiH,40000.0,,,,,
OMERDIĆ JAKUB,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TRAVNIK,SDA - STRANKA DEMOKRATSKE AKCIJE,DA,,BiH,2000.0,,,,,
OMERINOVIĆ SEMEDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BUGOJNO,SBIH - STRANKA ZA BOSNU I HERCEGOVINU,OPG ELEKTRA ,4336573150000.0,BiH,50000.0,,,,,
OMEROVIĆ ALMEDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRACANICA,SDA - STRANKA DEMOKRATSKE AKCIJE,DA,,BiH,150000.0,,,,,
ORŠOLIĆ MIJO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ORAŠJE,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,"PUTNIČKO VOZILO VW,, TRAKTOR, MOTOR",,BiH,50000.0,,,,,
OSTOJIĆ FRENK,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ČITLUK,HSP BIH - HRVATSKA STRANKA PRAVA BIH,SUVLASNIK 50% FIRME FRANKONI D.O.O. ČITLUK,4227096400003.0,Bosna i Hercegovina ,474000.0,,,,,
PAJIĆ GORAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,VLASENICA,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,"PAJIĆ ""GJR"" COMPANY",4405004990000.0,BiH - RS,100000.0,,,,,
PAPOVIĆ RAJKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GACKO,PRVA SRPSKA DEMOKRATSKA STRANKA,GACKO,,RS-BiH,1320000.0,,,,True,
PAVLOVIĆ VINKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ČELIĆ,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,MARVIN DOO,4210596330001.0,Bosna i Hercegovina,1000.0,,,,,
PEHLIĆ SEMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,CAZIN,NES-ZAJEDNO,VLASNIČKI UDIO „A&S DOM“ D.O.O. CAZIN 50%,4263816730002.0,BiH,500.0,,,,True,True
PERIĆ MILE,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,VIŠEGRAD,NARODNA PARTIJA SRPSKE-DARKO BANJAC,S.P. APARTMAN HELENA,4513442350002.0,BIH,30000.0,,,,,
PERVAN TOMISLAV,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,LIVNO,HNP - HRVATSKI NACIONALNI POMAK,MELIORA D.O.O,4281310970003.0,Bosna i Hercegovina,80800.0,,,,,
PETKOVIĆ SRĐEN,NACELNIK/GRADONACELNIK,KUPRES (RS),SOCIJALISTIČKA PARTIJA,FIRMA GEODEX D.O.O. KUPRES,4401315070006.0,БИХ,500000.0,,,,,
PETROVIĆ ALEKSANDAR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,MILIĆI,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SP : STR,,BIH,70000.0,,,,,
PEZEROVIĆ MEHO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADAČAC,SDA - STRANKA DEMOKRATSKE AKCIJE,RAJČANKA D.O.O.,4209083780003.0,BiH,3000000.0,True,,,,
PILAV AMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TEŠANJ,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,AGENCIJA ASFIN,4320660380000.0,,10000.0,,,,,
PILJAK MILAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,MODRIČA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,AUTO ŠKOLA,,BiH RS,30000.0,,,,,
PINTOL AMEL,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ILIDŽA,SDA - STRANKA DEMOKRATSKE AKCIJE,"IDAMAN D.O.O. (SUVLASNIK, 33,33%)",4405197000001.0,Bosna i Hercegovina,350000.0,,,,,
PJERANOVIĆ DEJAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DERVENTA,DNS-NENAD NEŠIĆ,PJERPRODUCTS DOO,4404909810009.0,BiH,,,,,True,
PJERANOVIĆ DEJAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DERVENTA,DNS-NENAD NEŠIĆ,GUINNESS S.P.,4508953350007.0,BiH,,,,,True,
PROSJANOVIĆ ERVIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BUSOVAČA,SDA - STRANKA DEMOKRATSKE AKCIJE,GEWIS DOO,4236564770009.0,BiH,2000.0,True,,,,
PULJANOVIĆ MILENKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DERVENTA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,"SP - ""PULJAN""",4509921520004.0,RS-BIH,100000.0,,,,,
RADAČA HARIS,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,PALE (FBIH),SDP BIH - NAROD I PRAVDA,AUTO SERVIS HARE,,BOSNA I HERCEGOVINA,10000.0,,,,,
RADIŠIĆ PERO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ČITLUK,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,INŽENJERING AEL DESIGN,4328984080000.0,BiH,10000.0,,,,,
RADOVANOVIĆ BORO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BROD,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,DB MONT,90867774271.0,HRVATSKA,100000.0,,,,,
RAHIMIĆ ĐANI,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRAD MOSTAR,KOALICIJA ZA MOSTAR - SDA - BPS - BH ZELENI,PROJEKTNI BIRO GRATEH D.O.O.,4227915830004.0,BiH,45000.0,True,,,,
RANKIĆ VELIBOR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SREBRENICA,DNS-NENAD NEŠIĆ,RANKIĆ COMPANY D.O.O. ,4402524100008.0,RS (BiH),500000.0,,,,True,
RAŠČIĆ MUHIDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,FOCA (FBIH),SNAGA NARODA,VEKTOR DOO ,,BiH,80000.0,,,,,
RAŠTEGORAC JOSIP,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KUPRES,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,FIRMA,,BiH,1000000.0,,,,,
REKANOVIĆ SREĆKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,DOBOJ,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,PROIZVODNO TRGOVINSKA RADNJA,,BiH,400000.0,,,,,
RISTIĆ SLAVENKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIJELJINA,REPUBLIČKA STRANKA SRPSKE-RSS,BALKAN GLOBAL D.O.O. BIJELJINA,4403352000002.0,BiH,,,,,,
RISTIĆ SLAVENKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIJELJINA,REPUBLIČKA STRANKA SRPSKE-RSS,BRATUNAC INTERNATIONAL HOLDINGS LTD DUBAI,,Ujedinjeni Emirati,,,,,,
RISTIĆ SLAVENKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIJELJINA,REPUBLIČKA STRANKA SRPSKE-RSS,TRB D.O.O. BEOGRAD,,Srbija,,,,,,
RISTIĆ SLAVENKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIJELJINA,REPUBLIČKA STRANKA SRPSKE-RSS, TRB BRANDS D.O.O. BEOGRAD,,Srbija,,,,,,
RISTIĆ SLAVENKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIJELJINA,REPUBLIČKA STRANKA SRPSKE-RSS,RENERVEST AG BASEL,,Švajcarska,,,,,,
ROŠIĆ JAKUB,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TEŠANJ,SDA - STRANKA DEMOKRATSKE AKCIJE,SOLARNA ELEKTRANA,,BIH,110000.0,,,,True,True
ŠABIĆ MUSTAFA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SREBRENIK,NAROD I PRAVDA (NIP),PORTA NATURE DOO SREBRENIK,4210000940002.0,BIH,500000.0,,,,True,
ŠALDIĆ MERSED,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRADAČAC,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,MEGGA LIGHT DOO,4210410920009.0,BOSNA I HERCEGOVINA,230000.0,True,,,,
SALIHOVIĆ EMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KLADANJ,NEZAVISNA LISTA KLADANJ,BARK TRANS,4209586850009.0,BiH,,,,,,
SALIHOVIĆ EMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KLADANJ,NEZAVISNA LISTA KLADANJ,JEZERO PROMET,4209029570001.0,BiH,,,,,,
SALIHOVIĆ EMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KLADANJ,NEZAVISNA LISTA KLADANJ,ES PETROL,4210168880005.0,BiH,,True,,,,
SALKIĆ SALKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,HADŽIĆI,NAROD I PRAVDA (NIP),"SS AGENCIJA, VL. SALKO SALKIĆ",,BiH,100000.0,,,,True,
ŠARAC SLAVKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,MILIĆI,DNS-NENAD NEŠIĆ,1/2,,BiH,2000000.0,,,,,
SARIĆ VLADIMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIJELJINA,REPUBLIČKA STRANKA SRPSKE-RSS,"VLASNIK DOO HIDROINŽENJERING VS  BIJELJINA, ",4405229130000.0,BiH,,,,,True,
SARIĆ VLADIMIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BIJELJINA,REPUBLIČKA STRANKA SRPSKE-RSS,VLASNIK 1/2 UR SOFA  BIJELJINA,4511737320005.0,BiH,,True,,,True,
SAVIČIĆ MIRKO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ŠIPOVO,DNS-NENAD NEŠIĆ,ŠIKI SP 1/2,4508593120005.0,BiH,1000000.0,True,,,True,
ŠEHIĆ EDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRACANICA,NAROD I PRAVDA (NIP),KNJIGOVODSTVENI SERVIS ''ŠEHA'',4310553850006.0,BiH,,,,,,
ŠEHIĆ EDIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GRACANICA,NAROD I PRAVDA (NIP),UGARIT D.O.O. GRAČANICA,4210328590009.0,,,,,,,
SEJDINOVIĆ RIFAT,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TEŠANJ,SDA - STRANKA DEMOKRATSKE AKCIJE,SOLARNA ELEKTRANA SEJDINOVIĆ,4320486090005.0,BIH,100000.0,,,,,
SEMIĆ ESAD,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,VISOKO,SDA - STRANKA DEMOKRATSKE AKCIJE,"OSNIVAČ I DIREKTOR FIRME INDUSTRIJA MESA ""SEMIĆ"" DOO VISOKO",4218120050001.0,BiH,11127710.0,True,,,True,
SENDIĆ BEGO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,SREBRENIK,DEMOKRATSKA FRONTA - DF,OSNIVAČ U D.O.O. BENKO COMPANY,4210258950002.0,Bosna i Hercegovina,975544.0,True,,,,
ŠILJAK ELVIR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,BUSOVAČA,SDA - STRANKA DEMOKRATSKE AKCIJE,VETERINARSKA STANICA BUSOVAČA DOO,4236143750009.0,BiH,850000.0,,,,,
ŠIMIĆ NIKOLA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,VAREŠ,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,VLASNIŠTVO,,BIH,50000.0,,,,,
ŠIMOVIĆ PETAR,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,LJUBUŠKI,HDZ BIH-HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,GALIJAT IT,4372709540008.0,BIH,75000.0,True,,,,
ŠIPOVAC ANTO,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,NEVESINJE,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,ŠIPOVAC DOO (1/3),4403328980004.0,BiH,400000.0,,,,,
ŠKALJIĆ SEID,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,STARI GRAD SARAJEVO,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,949 DOO SARAJEVO,4201326470007.0,BiH,500000.0,,,,True,True
ŠKIPINA BORIS,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,PALE,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,GOLF 5,,,5000.0,,,,,
ŠKOBO SAŠA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ISTOČNA ILIDŽA,SRPSKA DEMOKRATSKA STRANKA - VOLJA NARODA,DOO EKO ŽELJEZNICA,4400639430009.0,BiH,1500000.0,True,,,,
ŠKREBIĆ DRAGUTIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TESLIĆ,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,PRIVATNO PREDUZEĆE ŠKREBIĆ COMPANY DOO TESLIĆ,4401285490005.0,Bosna i Hercegovina,12121937.0,,,,,
ŠKULJ ELVISA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,PALE (FBIH),SDP BIH - NAROD I PRAVDA,"OPBZ""""""3XE 1/5",4245081880007.0,BOSNA I HERCEGOVINA,150000.0,,,,,
SLADOJE MILJAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,ISTOČNO NOVO SARAJEVO,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,URBANIS DOO,4404942430009.0,BIH,10000.0,,,,,
SLADOJE RADOMIR,NACELNIK/GRADONACELNIK,KALINOVIK,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,D.O.O BLONDI ,4400519020001.0,RS,2000000.0,True,,,,
SMAJIĆ ENVER,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,GLAMOČ,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,"OBRT FARMA ""OPAČIĆ""",4381396490003.0,BiH,200000.0,,,,,
SMAJIĆ SELMA,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,KALESIJA,SDA - STRANKA DEMOKRATSKE AKCIJE,FIRMA,,Bosna i Hercegovina,10000.0,,,,True,True
ŠOŠIĆ JASMIN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,NOVI GRAD SARAJEVO,SDA - STRANKA DEMOKRATSKE AKCIJE,O.D. HOME CLEAN HOME,4303777880001.0,BiH,15000.0,True,,,,
SRDIĆ SRĐAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,NOVO SARAJEVO,SBIH - STRANKA ZA BOSNU I HERCEGOVINU,PUTNIČKO VOZILO,,Bosna i Hercegovina,35000.0,,,,,
SRKALOVIĆ SUVAD,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,TEŠANJ,SDP - SOCIJALDEMOKRATSKA PARTIJA BOSNE I HERCEGOVINE,FAS,,BIH,162000.0,,,,,
STANAR DRAGAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,OŠTRA LUKA,DNS-NENAD NEŠIĆ,VELETON D.O.O. 80%,4403933660003.0,BiH,,True,,,True,
STANAR DRAGAN,OPĆINSKO VIJEĆE / SKUPŠTINA OPŠTINE / SKUPŠTINA GRADA / GRADSKO VIJEĆE,OŠTRA LUKA,DNS-NENAD NEŠIĆ,SOFKOMS D.O.O.,4404861600007.0,BiH,,True,,,True,
